StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q7,Q11,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,MTurkCode
2018-03-19 12:47:02,2018-03-19 12:52:07,IP Address,71.19.248.133,100,305,True,2018-03-19 12:52:08,R_bw8gmlDhHz3iwmd,,,,,49.166702270508,-122.96670532227,anonymous,EN,36,Male,1,1,5,4,4,3,,Use of animals in farming,,Agree,Strongly Agree,Agree,10,5,10,5,50,0,50,4807557887
2018-03-19 12:55:45,2018-03-19 13:05:17,IP Address,23.233.114.54,100,571,True,2018-03-19 13:05:17,R_3NWg9vPDmiVBTgB,,,,,44.016799926758,-78.39949798584,anonymous,EN,33,Male,2,2,2,,5,3,,,Use of water in farming,Agree,Agree,Agree,15,4,9,9,100,0,0,9286514562
2018-03-19 13:03:00,2018-03-19 13:06:03,IP Address,142.161.140.212,100,183,True,2018-03-19 13:06:04,R_2duOkozxPp1i5xu,,,,,49.897994995117,-97.140098571777,anonymous,EN,31,Female,18,24,0,0,5,7,Use of animals in farming,,,Agree,Strongly Agree,Disagree,6,4,1,8,100,0,0,8483084593
2018-03-19 13:14:37,2018-03-19 13:20:31,IP Address,174.113.170.224,100,353,True,2018-03-19 13:20:31,R_eaieRtTVSv2uy2d,,,,,42.86669921875,-80.733299255371,anonymous,EN,63,Female,3,0,2,0,0,1,,,Use of water in farming,Neutral/no opinion,Agree,Disagree,0,5,0,0,100,0,0,2793904971
2018-03-19 13:29:10,2018-03-19 13:34:04,IP Address,76.69.0.85,100,294,True,2018-03-19 13:34:05,R_2tbV9A6YV0zTHzr,,,,,44.324493408203,-78.318397521973,anonymous,EN,27,Male,3,3,3,0,15,18,,Use of animals in farming,,Strongly Disagree,Strongly Disagree,Strongly Disagree,70,9,20,3,100,0,0,8552092239
2018-03-19 13:44:16,2018-03-19 13:47:55,IP Address,174.1.16.44,100,218,True,2018-03-19 13:47:55,R_77H8VDh1kw8sKiJ,,,,,49.106399536133,-122.82510375977,anonymous,EN,20,Male,5,2,,0,5,5,None of these,,,Agree,Agree,Disagree,5,6,2,0,100,0,0,9365138849
2018-03-19 13:50:29,2018-03-19 13:55:18,IP Address,198.169.65.1,100,289,True,2018-03-19 13:55:18,R_2rA83w1fFeDjNVj,,,,,50.450698852539,-104.66500091553,anonymous,EN,32,Male,1,5,21,3,30,21,,,Use of water in farming,Agree,Agree,Neutral/no opinion,25,0,25,5,100,0,0,9605429852
2018-03-19 14:52:29,2018-03-19 14:57:33,IP Address,162.157.162.240,100,304,True,2018-03-19 14:57:33,R_3ND2QQzUIwIXpB9,,,,,51.041900634766,-114.19999694824,anonymous,EN,30,Male,4,2,4,,6,5,Use of animals in farming,,,Neutral/no opinion,Agree,Neutral/no opinion,7,16,1,4,100,0,0,8056410
2018-03-19 15:08:47,2018-03-19 15:12:45,IP Address,64.85.32.137,100,238,True,2018-03-19 15:12:45,R_3dZkNDaffgt5gy0,,,,,49.169998168945,-123.13679504395,anonymous,EN,47,Male,4,1,4,0,5,6,,Use of animals in farming,,Agree,Agree,Neutral/no opinion,8,11,14,6,100,0,0,9545603361
2018-03-19 15:14:55,2018-03-19 15:19:46,IP Address,76.67.176.178,100,291,True,2018-03-19 15:19:47,R_2S8kRXTzIfM4OOW,,,,,45.572998046875,-73.570098876953,anonymous,EN,49,Female,8,2,4,0,0,12,,,Use of water in farming,Strongly Agree,Strongly Agree,Strongly Agree,5,15,8,5,100,0,0,5115559492
2018-03-19 15:49:01,2018-03-19 15:54:13,IP Address,70.49.65.165,100,312,True,2018-03-19 15:54:14,R_bPDijqbknfM1rWh,,,,,45.572998046875,-73.570098876953,anonymous,EN,41,Male,4,4,13,2,10,13,,Use of animals in farming,,Neutral/no opinion,Disagree,Disagree,20,5,5,10,100,0,0,2559690647
2018-03-19 15:56:11,2018-03-19 16:01:17,IP Address,142.114.116.44,100,305,True,2018-03-19 16:01:18,R_r0vJ2zQJ4t8BeAV,,,,,43.665603637695,-79.383003234863,anonymous,EN,36,Male,,,7,2,8,8,Use of animals in farming,,,Strongly Agree,Strongly Agree,Disagree,15,,25,,100,0,0,5552382525
2018-03-19 16:36:34,2018-03-19 16:39:45,IP Address,67.193.192.219,100,190,True,2018-03-19 16:39:45,R_2EyPz7fIQ6spNf0,,,,,44.220199584961,-76.584899902344,anonymous,EN,34,Male,3,2,2,,12,12,,None of these,,Agree,Disagree,Agree,5,10,1,1,100,0,0,8286234759
2018-03-19 16:38:53,2018-03-19 16:43:14,IP Address,23.17.82.123,100,260,True,2018-03-19 16:43:14,R_2AFrgXcIR3VbQgN,,,,,53.536605834961,-113.51029968262,anonymous,EN,42,Female,2,2,5,1,7,5,Use of animals in farming,,,Agree,Disagree,Disagree,7,3,3,3,100,0,0,1811225973
2018-03-19 16:49:33,2018-03-19 16:56:46,IP Address,144.172.177.25,100,433,True,2018-03-19 16:56:46,R_3MDrDR6zB9ItMKF,,,,,45.533401489258,-73.282501220703,anonymous,EN,39,Male,3,1,3,,7,10,,,Use of water in farming,Agree,Neutral/no opinion,Disagree,10,1,12,3,95,2,3,73992274
2018-03-19 17:03:08,2018-03-19 17:08:17,IP Address,184.151.29.120,100,309,True,2018-03-19 17:08:18,R_20MZTq7EjBVrH1e,,,,,42.813705444336,-82.283500671387,anonymous,EN,26,Female,14,2,15,8,21,21,,,Use of water in farming,Neutral/no opinion,Agree,Agree,50,16,32,10,100,0,0,8975131227
2018-03-19 17:11:54,2018-03-19 17:18:56,IP Address,104.163.185.37,100,422,True,2018-03-19 17:18:57,R_3hyFmRwL2p9iQJx,,,,,45.464294433594,-73.569801330566,anonymous,EN,49,Female,,,,,5,,Use of animals in farming,,,Agree,Agree,Neutral/no opinion,2,,2,,100,0,0,8962944271
2018-03-19 17:31:46,2018-03-19 17:39:14,IP Address,99.230.53.27,100,447,True,2018-03-19 17:39:15,R_1pLI6HuFLDxlZlT,,,,,43.668395996094,-79.368896484375,anonymous,EN,31,Male,,,2,,14,3,,None of these,,Neutral/no opinion,Agree,Disagree,,,2,0,50,0,50,9670595386
2018-03-19 18:05:24,2018-03-19 18:13:28,IP Address,154.242.96.53,100,484,True,2018-03-19 18:13:29,R_3rIgmGdFjUAkaMM,,,,,36.764205932617,3.1468048095703,anonymous,EN,28,Male,,,,8,8,7,Couldn't tell or couldn't see the video,,,Strongly Agree,Strongly Agree,Agree,14,9,,8,50,50,0,2933227233
2018-03-19 18:16:45,2018-03-19 18:19:45,IP Address,142.167.131.163,100,180,True,2018-03-19 18:19:45,R_3fTyVjcGGwnfs3t,,,,,46.096496582031,-64.79759979248,anonymous,EN,28,Female,2,3,1,,6,6,,,Use of water in farming,Agree,Agree,Agree,20,8,8,8,100,0,0,4213155247
2018-03-19 18:28:12,2018-03-19 18:32:48,IP Address,50.66.6.23,100,275,True,2018-03-19 18:32:48,R_2EmjZC2D719Rlta,,,,,51.138702392578,-114.20149993896,anonymous,EN,29,Female,,,2,4,9,11,,Use of animals in farming,,Disagree,Neutral/no opinion,Agree,30,,1,,100,0,0,309788105
2018-03-17 10:53:07,2018-03-19 18:36:57,IP Address,96.37.214.105,100,200629,True,2018-03-19 18:36:57,R_1rkaBHP8p6Rftqi,,,,,35.7666015625,-81.335502624512,anonymous,EN,,Male,,,,,,,,Use of water in farming,,Neutral/no opinion,Neutral/no opinion,Neutral/no opinion,2,2,2,2,100,0,0,5697037875
2018-03-19 19:27:35,2018-03-19 19:30:34,IP Address,24.57.123.155,100,178,True,2018-03-19 19:30:34,R_2zBAd9YqFvoxLk9,,,,,42.294906616211,-83.052001953125,anonymous,EN,22,Male,8,,2,3,6,13,Use of animals in farming,,,Agree,Agree,Strongly Agree,22,12,4,4,100,0,0,9459564345
2018-03-19 19:30:51,2018-03-19 19:34:57,IP Address,24.142.6.13,100,246,True,2018-03-19 19:34:58,R_2sYex160lUDqS2w,,,,,52.783294677734,-111.84999847412,anonymous,EN,30,Male,9,,,,,1,,,Use of water in farming,Agree,Neutral/no opinion,Strongly Disagree,,10,,10,100,0,0,3684806153
2018-03-19 19:56:20,2018-03-19 20:03:22,IP Address,104.163.150.108,100,421,True,2018-03-19 20:03:22,R_3kEYw63nC95Xs5R,,,,,45.530197143555,-73.583099365234,anonymous,EN,26,Male,,,,8,6,12,None of these,,,Strongly Disagree,Agree,Agree,25,,,,100,0,0,5925167957
2018-03-19 20:06:10,2018-03-19 20:13:59,IP Address,172.97.172.111,100,468,True,2018-03-19 20:14:00,R_2TyNgKUGNPfCTNP,,,,,43.668304443359,-79.420501708984,anonymous,EN,38,Male,2,,3,0,2,3,,Use of animals in farming,,Disagree,Agree,Neutral/no opinion,9,4,6,3,100,0,0,6278268634
2018-03-19 20:29:10,2018-03-19 20:32:28,IP Address,70.76.232.161,100,198,True,2018-03-19 20:32:29,R_W1BQR3M2qSmjv9L,,,,,46.530700683594,-84.30460357666,anonymous,EN,30,Female,9,,4,,14,14,,None of these,,Agree,Agree,Agree,20,15,15,,100,0,0,4293470731
2018-03-19 21:00:04,2018-03-19 21:03:01,IP Address,50.64.140.71,100,176,True,2018-03-19 21:03:01,R_2TRTBxiVh36p2FI,,,,,49.283294677734,-123.12979888916,anonymous,EN,29,Female,1,2,1,1,4,5,None of these,,,Neutral/no opinion,Agree,Neutral/no opinion,16,0,0,5,100,0,0,284253694
2018-03-19 21:18:00,2018-03-19 21:23:57,IP Address,66.183.132.220,100,356,True,2018-03-19 21:23:57,R_3htgaoktcjgiw6q,,,,,49.227493286133,-122.9300994873,anonymous,EN,30,Female,2,1,4,0,3,1,,,Use of water in farming,Neutral/no opinion,Strongly Agree,Neutral/no opinion,10,1,8,3,100,0,0,6897573368
2018-03-19 21:49:55,2018-03-19 21:55:26,IP Address,24.64.164.122,100,331,True,2018-03-19 21:55:27,R_21vuP7uaLM61ONy,,,,,49.600006103516,-114.43329620361,anonymous,EN,35,Female,3,1,1,,11,10,,,Use of water in farming,Agree,Agree,Agree,52,10,12,26,100,0,0,7610283773
2018-03-19 22:15:10,2018-03-19 22:19:27,IP Address,154.20.32.160,100,256,True,2018-03-19 22:19:27,R_DNRQSVBoNJkWPTP,,,,,48.476501464844,-123.31449890137,anonymous,EN,22,Female,0,0,0,7,7,7,,Use of animals in farming,,Disagree,Disagree,Neutral/no opinion,0,0,0,0,100,0,0,6956599182
2018-03-20 00:17:43,2018-03-20 00:21:19,IP Address,24.76.174.26,100,216,True,2018-03-20 00:21:19,R_3KqZKAj24rJErdT,,,,,49.907501220703,-97.099601745605,anonymous,EN,21,Male,2,3,3,,3,5,,,Use of water in farming,Agree,Agree,Disagree,,7,,8,100,0,0,2131148506
2018-03-20 00:17:58,2018-03-20 00:23:15,IP Address,70.69.120.193,100,316,True,2018-03-20 00:23:16,R_2uvQBpV80pcPUpb,,,,,49.274002075195,-122.76490020752,anonymous,EN,40,Female,,,,3,3,9,Couldn't tell or couldn't see the video,,,Disagree,Agree,Agree,12,,,,100,0,0,9861213662
2018-03-20 00:39:26,2018-03-20 00:42:30,IP Address,205.250.183.122,100,183,True,2018-03-20 00:42:30,R_2qkHMjFLIxVZVUO,,,,,48.566299438477,-123.41929626465,anonymous,EN,42,Male,3,2,4,0,7,7,,None of these,,Agree,Disagree,Agree,7,5,15,2,100,0,0,9146149340
2018-03-20 04:12:05,2018-03-20 04:22:24,IP Address,197.210.29.93,100,619,True,2018-03-20 04:22:25,R_1OK4tlTwU2PVNxU,,,,,6.4530944824219,3.3957977294922,anonymous,EN,34,Male,14,11,17,16,14,30,,Use of animals in farming,,Neutral/no opinion,Neutral/no opinion,Neutral/no opinion,69,72,21,18,0,100,0,7071549734
2018-03-20 04:59:25,2018-03-20 05:03:53,IP Address,70.48.153.56,100,267,True,2018-03-20 05:03:53,R_2EfXCvmZ0apdHhG,,,,,43.668304443359,-79.420501708984,anonymous,EN,46,Female,1,0,5,0,5,3,None of these,,,Agree,Agree,Agree,15,1,4,1,100,0,0,8223914313
2018-03-20 05:29:48,2018-03-20 05:34:11,IP Address,65.95.61.168,100,263,True,2018-03-20 05:34:12,R_VRs8aPg7G0LLEGt,,,,,49.783294677734,-86.550003051758,anonymous,EN,33,Female,13,9,14,,9,18,,,Use of water in farming,Agree,Disagree,Disagree,3,3,2,5,100,0,0,8917019600
2018-03-20 07:46:16,2018-03-20 07:51:24,IP Address,173.179.216.237,100,308,True,2018-03-20 07:51:25,R_2qmm9wwu0n9PnQu,,,,,45.609497070312,-73.837799072266,anonymous,EN,26,Male,,16,5,,15,15,None of these,,,Disagree,Agree,Neutral/no opinion,19,,5,,100,0,0,1356168948
2018-03-20 08:18:24,2018-03-20 08:22:53,IP Address,99.247.114.109,100,269,True,2018-03-20 08:22:53,R_ZqIwR0m07XPPwZz,,,,,45.180404663086,-67.295303344727,anonymous,EN,36,Female,2,7,2,,14,14,,Use of animals in farming,,Agree,Agree,Disagree,30,5,15,3,100,0,0,4647884648
2018-03-20 08:34:30,2018-03-20 08:38:12,IP Address,192.75.158.166,100,222,True,2018-03-20 08:38:12,R_3gSg8TvDTSzWDrs,,,,,43.656402587891,-79.386001586914,anonymous,EN,35,Female,6,13,6,,13,7,,,Use of water in farming,Agree,Agree,Agree,20,12,4,6,100,0,0,9460580567
2018-03-20 08:35:00,2018-03-20 08:40:12,IP Address,207.164.12.34,100,311,True,2018-03-20 08:40:13,R_yWvsOURAzT56dOh,,,,,45.500503540039,-73.568397521973,anonymous,EN,33,Male,2,16,2,2,3,14,,Use of animals in farming,,Strongly Agree,Strongly Agree,Neutral/no opinion,13,3,10,3,10,50,40,8565845857
2018-03-20 09:17:45,2018-03-20 09:22:45,IP Address,66.203.207.68,100,299,True,2018-03-20 09:22:45,R_6kR3qp1cIP7KPF7,,,,,43.781204223633,-79.303596496582,anonymous,EN,36,Male,,,7,,1,3,None of these,,,Disagree,Strongly Agree,Strongly Agree,,9,20,9,100,0,0,5310314949
2018-03-20 09:41:37,2018-03-20 09:44:12,IP Address,206.45.52.215,100,155,True,2018-03-20 09:44:13,R_1OVQxiJL88SXxO6,,,,,49.873397827148,-97.306999206543,anonymous,EN,27,Male,4,2,14,0,9,14,,,Use of water in farming,Agree,Neutral/no opinion,Agree,20,4,5,3,100,0,0,3893733648
2018-03-20 10:14:10,2018-03-20 10:18:58,IP Address,162.157.93.167,100,288,True,2018-03-20 10:18:59,R_1H6Qr19peYhaREZ,,,,,53.633407592773,-113.63529968262,anonymous,EN,37,Female,1,3,6,,1,3,,None of these,,Agree,Neutral/no opinion,Disagree,6,1,15,3,100,0,0,9258153657
2018-03-20 10:19:14,2018-03-20 10:22:46,IP Address,162.157.93.167,100,211,True,2018-03-20 10:22:46,R_tSPpfJsQeTOwOR3,,,,,53.633407592773,-113.63529968262,anonymous,EN,37,Female,1,3,6,,1,3,,,Use of water in farming,Agree,Neutral/no opinion,Disagree,3,1,15,1,100,0,0,6334852939
2018-03-20 10:59:38,2018-03-20 11:03:44,IP Address,24.102.51.7,100,245,True,2018-03-20 11:03:44,R_6QX8TlQIwhD0vPX,,,,,42.964096069336,-80.05549621582,anonymous,EN,48,Male,1,1,1,0,5,3,None of these,,,Agree,Agree,Neutral/no opinion,25,1,2,1,100,0,0,5927066975
2018-03-20 11:02:57,2018-03-20 11:08:52,IP Address,132.205.98.22,100,355,True,2018-03-20 11:08:53,R_1CklpGbKivs7fJq,,,,,45.500900268555,-73.587699890137,anonymous,EN,30,Female,2,,,6,16,24,None of these,,,Agree,Strongly Agree,Agree,87,10,16,16,100,0,0,4492780808
2018-03-17 09:01:29,2018-03-17 09:01:56,IP Address,99.73.37.101,58,27,False,2018-03-24 09:02:26,R_1hETHbMqJ14SYkC,,,,,,,anonymous,EN,,Male,11,10,11,10,11,11,,,,,,,,,,,,,,
